sno,sna,tot,lat,lng,sarea
1051,保長公園,42,25.079523 ,121.674342 ,汐止區
1052,新店公有中央市場,36,24.975308,121.527287,新店區
1053,永平高中,34,25.009790,121.509092,永和區
1054,惠國市場,36,24.970415 ,121.543384 ,新店區
1055,陽光橋,40,24.978494 ,121.524176 ,新店區
1056,中興寶慶街口,50,24.986942 ,121.541950 ,新店區
1057,東方科學園區,52,25.061262,121.649512,汐止區
1058,連興龍安路口,70,25.062989,121.654430,汐止區
1059,青山國民中小學,50,25.061034,121.655586,汐止區
1060,汐止區綜合運動場,44,25.066238,121.659067,汐止區
1061,汐止公園,52,25.067682,121.659763,汐止區
1062,保順環河西路口,58,25.010786,121.503376,永和區
1063,台灣科學園區,40,25.057900,121.634899,汐止區
1064,中正國小,32,24.971496,121.536296,新店區
1065,開元市民活動中心,42,25.066074,121.503557,三重區
1066,雍和科學園區,44,25.058078,121.626018,汐止區
1067,二重國小,46,25.065976,121.477656,三重區
1068,二重國中,70,25.065957,121.480465,三重區
1069,三重行政中心,44,25.060566,121.488229,三重區
1070,新北市立圖書館三重分館,50,25.066099,121.495529,三重區
1071,三張公園,40,25.070507,121.490935,三重區
1072,捷運丹鳳站(1號出口),46,25.029032,121.422799,新莊區
1073,永福橋,50,25.010032,121.524184,永和區
1074,中港國小,50,25.045947,121.447746,新莊區
1075,六合公園,40,25.069499,121.487588,三重區
1076,正義公園,52,25.068551,121.497818,三重區
1077,捷運徐匯中學站(1號出口),56,25.080468,121.479852,蘆洲區
1078,黃城公園,38,25.052382,121.448239,新莊區
1079,捷運菜寮站(3號出口),30,25.060471,121.492198,三重區
1080,捷運三和國中站(1號出口),88,25.075881,121.487795,三重區
1081,中和國民運動中心,50,24.993477,121.487692,中和區
1082,四維公園,40,25.021308,121.422185,新莊區
1083,蘆洲國民運動中心,42,25.091945,121.461613,蘆洲區
1084,和平公園,36,25.070884,121.485712,三重區
1085,三重綜合體育館,52,25.061446,121.491926,三重區
1086,信義公園,36,25.064804,121.498749,三重區
1087,捷運小碧潭站(1號出口),44,24.97152,121.53029,新店區
1088,秀得里(成功路二段),28,25.000705,121.526729,永和區
1089,永平公園,44,25.089987,121.459424,蘆洲區
1090,永康公園,30,25.084764,121.458733,蘆洲區
1091,頭前運動公園,50,25.052180,121.462124,新莊區
1092,頭前國中,42,25.054464,121.459318,新莊區
1093,建國民權路口,46,24.983184,121.537462,新店區
1094,聯邦公園,48,25.064447,121.483710,三重區
1095,捷運蘆洲站,52,25.091637,121.464031,蘆洲區
1096,集成成功路口,32,25.051542,121.488208,三重區
1097,板橋國民運動中心,44,25.022235,121.458152,板橋區
1098,永安公園,38,25.024478,121.477572,板橋區
1099,捷運江子翠站(3號出口),44,25.029729,121.472359,板橋區
1100,音樂公園,48,25.028631,121.480460,板橋區
1101,捷運七張站(1號出口),42,24.974996,121.542767,新店區
1102,北新國小,44,24.974233,121.544428,新店區
1103,捷運新埔站(2號出口),40,25.022095,121.467598,板橋區
